Phi[deg],Theta[deg],GainTotal
-135,60,2.13174
-120,60,2.12736
-105,60,1.98919
-90,60,1.56187
-75,60,1.28316
-60,60,0.879916
-45,60,0.616807
-30,60,0.66637
-15,60,0.762776
0,60,1.17148
15,60,1.51248
30,60,1.54415
45,60,1.48531
60,60,1.57909
75,60,1.49317
90,60,1.54848
105,60,1.90037
120,60,2.15966
135,60,1.46975
150,60,1.88172
165,60,1.88172
180,60,2.01341
-180,75,3.13012
-165,75,2.31127
-150,75,1.85479
-135,75,1.92532
-120,75,2.30318
-105,75,2.27925
-90,75,2.11807
-75,75,1.8322
-60,75,1.25807
-45,75,0.768661
-30,75,0.646471
-15,75,0.951996
0,75,1.49095
15,75,2.06758
30,75,1.89174
45,75,1.80265
60,75,1.79105
75,75,1.62627
90,75,1.65374
105,75,1.89449
120,75,2.3111
135,75,2.18185
150,75,2.88879
165,75,3.39086
180,75,3.13012
-180,90,2.23227
-165,90,1.23164
-150,90,0.699441
-135,90,0.669894
-120,90,1.15995
-105,90,1.4969
-90,90,1.3686
-75,90,1.6916
-60,90,1.18461
-45,90,0.898893
-30,90,0.613958
-15,90,0.739789
0,90,0.98748
15,90,1.75526
30,90,1.90541
45,90,1.81539
60,90,1.41559
75,90,1.51504
90,90,1.07936
105,90,1.49767
120,90,1.48087
135,90,2.25222
150,90,2.61056
165,90,2.90568
180,90,2.23227
-180,105,1.33551
-165,105,0.743011
-150,105,0.132059
-135,105,0.0406023
-120,105,0.318865
-105,105,0.720127
-90,105,0.937881
-75,105,1.14499
-60,105,1.03446
-45,105,0.733816
-30,105,0.457575
-15,105,0.674608
0,105,0.917636
15,105,1.75607
30,105,1.88755
45,105,1.6498
60,105,1.24763
75,105,1.19158
90,105,1.18854
105,105,1.08243
120,105,0.938208
135,105,1.5651
150,105,2.12186
165,105,1.86718
180,105,1.33551
-180,120,1.77406
-165,120,1.54277
-150,120,0.444611
-135,120,0.258731
-120,120,0.196422
-105,120,0.286127
-90,120,0.39845
-75,120,0.616731
-60,120,0.651779
-45,120,0.443588
-30,120,0.318097
-15,120,0.431342
0,120,0.616908
15,120,0.926861
30,120,1.0516
45,120,1.10549
60,120,0.800177
75,120,0.824297
90,120,0.683244
105,120,0.680511
120,120,.0478058
135,120,1.11667
150,120,1.38033
165,120,2.03603
180,120,1.77406
-180,135,0.957488
-165,135,0.700348
-150,135,0.480467
-135,135,0.370482
-120,135,0.385945
-105,135,0.406567
-90,135,0.387071
-75,135,0.380095
-60,135,0.405345
-45,135,0.262128
-30,135,0.270365
-15,135,0.155146
0,135,0.124489
15,135,0.203139
30,135,0.523018
45,135,0.588448
60,135,0.643953
75,135,0.542592
90,135,0.525399
105,135,0.503985
120,135,0.55684
135,135,1.16681
150,135,1.13717
165,135,0.947711
180,135,0.957488
-180,150,1.10043
-165,150,0.927624
-150,150,0.57888
-135,150,0.355189
-120,150,0.262515
-105,150,0.300397
-90,150,0.339912
-75,150,0.240343
-60,150,0.325573
-45,150,0.281892
-30,150,0.175223
-15,150,0.252257
0,150,0.222243
15,150,0.145559
30,150,0.210479
45,150,0.344719
60,150,0.509653
75,150,0.520857
90,150,0.550874
105,150,0.632487
120,150,0.722629
135,150,0.927549
150,150,1.11003
165,150,1.05474
180,150,1.10043
-180,165,0.470666
-165,165,0.49103
-150,165,0.499669
-135,165,0.48087
-120,165,0.444573
-105,165,0.368974
-90,165,0.248187
-75,165,0.161629
-60,165,0.201631
-45,165,0.303725
-30,165,0.331607
-15,165,0.278315
0,165,0.215987
15,165,0.19754
30,165,0.220332
45,165,0.247351
60,165,0.245023
75,165,0.254843
90,165,0.370082
105,165,0.568501
120,165,0.612063
135,165,0.534186
150,165,0.495893
165,165,0.472626
180,165,0.470666
-180,180,0.223247
-165,180,0.223247
-150,180,0.223247
-135,180,0.223247
-120,180,0.223247
-105,180,0.223247
-90,180,0.223247
-75,180,0.223247
-60,180,0.223247
-45,180,0.223247
-30,180,0.223247
-15,180,0.223247
0,180,0.223247
15,180,0.223247
30,180,0.223247
45,180,0.223247
60,180,0.223247
75,180,0.223247
90,180,0.223247
105,180,0.223247
120,180,0.223247
135,180,0.223247
150,180,0.223247
165,180,0.223247
180,180,0.223247
