Phi[deg],Theta[deg],GainTotal
-180,0,0.284101
-165,0,0.284101
-150,0,0.284101
-135,0,0.284101
-120,0,0.284101
-105,0,0.284101
-90,0,0.284101
-75,0,0.284101
-60,0,0.284101
-45,0,0.284101
-30,0,0.284101
-15,0,0.284101
0,0,0.284101
15,0,0.284101
30,0,0.284101
45,0,0.284101
60,0,0.284101
75,0,0.284101
90,0,0.284101
105,0,0.284101
120,0,0.284101
135,0,0.284101
150,0,0.284101
165,0,0.284101
180,0,0.284101
-180,15,0.344732
-165,15,0.320054
-150,15,0.317406
-135,15,0.376601
-120,15,0.453351
-105,15,0.419264
-90,15,0.302601
-75,15,0.233176
-60,15,0.247638
-45,15,0.33535
-30,15,0.477917
-15,15,0.597211
0,15,0.652987
15,15,0.639367
30,15,0.535083
45,15,0.383109
60,15,0.253949
75,15,0.218018
90,15,0.26687
105,15,0.320217
120,15,0.323324
135,15,0.296854
150,15,0.299871
165,15,0.334239
180,15,0.344732
-180,30,0.791317
-165,30,0.735738
-150,30,0.617732
-135,30,0.558154
-120,30,0.453531
-105,30,0.495909
-90,30,0.480033
-75,30,0.397998
-60,30,0.472465
-45,30,0.571723
-30,30,0.532446
-15,30,0.535866
0,30,0.714996
15,30,0.739417
30,30,0.735431
45,30,0.741519
60,30,0.564822
75,30,0.389294
90,30,0.437181
105,30,0.425068
120,30,0.255036
135,30,0.221792
150,30,0.501514
165,30,0.727438
180,30,0.791317
-180,45,0.498472
-165,45,0.426879
-150,45,0.59704
-135,45,0.759103
-120,45,1.05643
-105,45,0.996488
-90,45,0.860567
-75,45,0.678504
-60,45,0.473233
-45,45,0.465281
-30,45,0.610331
-15,45,1.01159
0,45,1.19123
15,45,1.4815
30,45,1.1483
45,45,0.90065
60,45,0.944445
75,45,1.1213
90,45,1.23589
105,45,1.1531
120,45,1.11201
135,45,0.750998
150,45,0.91314
165,45,0.608868
180,45,0.498472
-180,60,2.01341
-165,60,1.75969
-150,60,1.58323
