Phi[deg],Theta[deg],GainTotal
90,165,0.222103
105,165,0.359279
120,165,0.453223
135,165,0.491877
150,165,0.483186
165,165,0.475201
180,165,0.481923
-180,180,0.240515
-165,180,0.240515
-150,180,0.240515
-135,180,0.240515
-120,180,0.240515
-105,180,0.240515
-90,180,0.240515
-75,180,0.240515
-60,180,0.240515
-45,180,0.240515
-30,180,0.240515
-15,180,0.240515
0,180,0.240515
15,180,0.240515
30,180,0.240515
45,180,0.240515
60,180,0.240515
75,180,0.240515
90,180,0.240515
105,180,0.240515
120,180,0.240515
135,180,0.240515
150,180,0.240515
165,180,0.240515
180,180,0.240515
